City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Saint-Philippe,RE,2022-04-30 17:10:17,-21.3585,55.7679,78.39,79,43,11.59
68,Salinopolis,BR,2022-04-30 17:12:41,-0.6136,-47.3561,80.87,81,56,7.99
69,Hasaki,JP,2022-04-30 17:12:42,35.7333,140.8333,46.8,56,54,10.16
70,Sao Felix Do Xingu,BR,2022-04-30 17:12:42,-6.6447,-51.995,85.24,64,63,3.33
71,Bredasdorp,ZA,2022-04-30 17:12:43,-34.5322,20.0403,58.21,75,16,6.46
72,Tessalit,ML,2022-04-30 17:12:43,20.1986,1.0114,96.84,6,1,17.94
73,Shirpur,IN,2022-04-30 17:12:44,21.35,74.8833,93.29,29,0,16.71
74,Kodiak,US,2022-04-30 17:11:59,57.79,-152.4072,38.71,93,100,26.46
75,Teya,RU,2022-04-30 17:12:45,60.3778,92.6267,33.78,98,100,3.2
76,Port Alfred,ZA,2022-04-30 17:12:45,-33.5906,26.891,61.18,77,1,5.01
77,Dubbo,AU,2022-04-30 17:12:46,-32.25,148.6167,44.73,100,0,8.05
78,Longyearbyen,SJ,2022-04-30 17:12:46,78.2186,15.6401,15.64,53,20,5.75
79,San Cristobal,VE,2022-04-30 17:12:47,7.7669,-72.225,80.78,80,100,7.02
80,Xingcheng,CN,2022-04-30 17:12:47,40.6167,120.7167,48.43,35,10,6.85
81,Aklavik,CA,2022-04-30 17:12:48,68.2191,-135.0107,32.99,96,62,10.38
82,Nisia Floresta,BR,2022-04-30 17:12:48,-6.0911,-35.2086,86.81,62,83,13.27
83,Guarapari,BR,2022-04-30 17:12:49,-20.6667,-40.4975,81.9,63,2,9.4
84,San Diego De Los Banos,CU,2022-04-30 17:12:49,22.6467,-83.3697,88.07,41,12,9.86
85,Kruisfontein,ZA,2022-04-30 17:12:50,-34.0033,24.7314,59.88,81,0,11.41
86,Georgetown,MY,2022-04-30 17:12:50,5.4112,100.3354,84.13,79,20,0.0
87,Bethel,US,2022-04-30 17:12:51,41.3712,-73.414,61.63,35,0,18.41
88,Bend,US,2022-04-30 17:12:51,44.0582,-121.3153,52.72,71,75,9.22
