City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
129,East London,ZA,61.97,clear sky,-33.0153,27.9116,Tu Casa
130,Kirakira,SB,83.97,overcast clouds,-10.4544,161.9205,SanBiz Lodge
132,New Norfolk,AU,60.71,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
134,Parati,BR,69.55,overcast clouds,-23.2178,-44.7131,Che Lagarto Paraty
135,Ciudad Bolivar,VE,89.98,overcast clouds,8.1222,-63.5497,Hotel Edi
136,Altamira,BR,74.19,broken clouds,-3.2033,-52.2064,Requinte Hotel
139,Alice Springs,AU,60.35,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
140,Bokaa,BW,63.21,clear sky,-24.45,26.0167,Pa Vula Hotels
142,Castro,BR,60.69,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
143,Omboue,GA,78.4,overcast clouds,-1.5746,9.2618,Hotel Olako
144,Maceio,BR,74.64,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
147,Voh,NC,80.51,clear sky,-20.9667,164.7,Le gîte du Koniambo
156,Cidreira,BR,66.72,light rain,-30.1811,-50.2056,Hotel Castelo
159,Sao Jose Da Coroa Grande,BR,77.38,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
167,Ribeira Grande,PT,62.42,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
168,Ponta Do Sol,PT,66.83,clear sky,32.6667,-17.1,Hotel do Campo
169,Torata,PE,61.83,clear sky,-17.0769,-70.8433,Lodging Sra. Tina Vera
170,Cabo San Lucas,MX,84.61,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
171,Mendi,PG,64.83,overcast clouds,-6.1761,143.6513,Kiburu Lodge
172,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
175,Port Blair,IN,82.08,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
176,Half Moon Bay,US,71.67,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
178,San Patricio,US,86.72,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
181,Mangrol,IN,81.72,clear sky,21.1167,70.1167,Hotel The Royal Honours
184,Qeshm,IR,80.49,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
187,Bengkulu,ID,74.84,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
190,Pathein,MM,78.55,few clouds,16.7833,94.7333,Pathein Hotel
192,Namatanai,PG,83.39,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
195,Manaus,BR,81.09,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
196,San Quintin,MX,65.7,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
197,Sechura,PE,75.16,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
198,Jardim,BR,80.96,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
208,Saint-Joseph,RE,73.78,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
211,Kigorobya,UG,66.25,light rain,1.6162,31.3089,Docs sports lounge
212,Manaure,CO,85.82,overcast clouds,11.7751,-72.4445,Hotel Palaaima
213,Ngunguru,NZ,65.46,few clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
215,Kavaratti,IN,84.63,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
217,Hamilton,US,72.75,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
220,Srivardhan,IN,79.97,clear sky,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
223,Tura,IN,67.37,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
224,Richards Bay,ZA,63.75,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
225,Taveta,KE,68.58,overcast clouds,-3.3963,37.6736,Challa Hotel
230,Russell,US,73.9,scattered clouds,32.3502,-85.1999,Macs
231,Senj,HR,61.47,clear sky,44.9894,14.9058,Roza Guest House
232,Paita,PE,70.02,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
234,Mareeba,AU,72.48,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
239,Nouadhibou,MR,64.38,sand,20.931,-17.0347,El Medina
241,Virginia Beach,US,61.05,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
242,Banda Aceh,ID,80.8,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
243,Lubao,PH,87.51,overcast clouds,14.9167,120.55,Hacienda Gracia
245,Belmonte,BR,75.47,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
246,Los Llanos De Aridane,ES,62.35,clear sky,28.6585,-17.9182,Valle Aridane
248,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
251,Eyl,SO,83.3,scattered clouds,7.9803,49.8164,Amiin Hotel
252,Grand Gaube,MU,77.4,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
261,Tautira,PF,80.04,light rain,-17.7333,-149.15,Pension Oaoa
265,Qiongshan,CN,75.18,broken clouds,20.0058,110.3542,Sun City Restaurant
266,Grand-Lahou,CI,80.65,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
268,Karratha,AU,75.74,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
273,Darnah,LY,62.98,broken clouds,32.767,22.6367,فندق الفردوس
275,Port Elizabeth,ZA,61.09,clear sky,-33.918,25.5701,39 On Nile Guest House
276,Seydi,TM,79.36,overcast clouds,39.4816,62.9137,Seydi oteli
279,Mocuba,MZ,63.57,clear sky,-16.8392,36.9856,Phama Lodge
280,Puerto Cabezas,NI,80.73,overcast clouds,14.0351,-83.3888,Cabaña Caribe
282,Ormara,PK,83.84,clear sky,25.2088,64.6357,Kenara Colony house for Rent
