City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Zhicheng,CN,2022-04-30 23:18:55,30.2956,111.5047,58.41,84,100,1.03,overcast clouds
60,Wanning,CN,2022-04-30 23:18:56,18.8003,110.3967,76.42,93,100,5.77,light rain
61,Takoradi,GH,2022-04-30 23:18:56,4.8845,-1.7554,80.67,84,49,7.83,scattered clouds
62,Namibe,AO,2022-04-30 23:18:57,-15.1961,12.1522,74.66,83,24,7.02,few clouds
63,Cacoal,BR,2022-04-30 23:18:57,-11.4386,-61.4472,77.7,78,86,1.12,overcast clouds
64,Pevek,RU,2022-04-30 23:18:57,69.7008,170.3133,8.65,92,95,6.2,overcast clouds
65,Tazovskiy,RU,2022-04-30 23:18:58,67.4667,78.7,9.34,92,63,7.83,broken clouds
66,Cape Town,ZA,2022-04-30 23:18:58,-33.9258,18.4232,60.91,84,0,5.75,clear sky
67,Progreso,MX,2022-04-30 23:18:59,21.2833,-89.6667,80.71,66,45,5.41,scattered clouds
68,Skegness,GB,2022-04-30 23:18:59,53.1436,0.3363,53.67,80,100,5.32,overcast clouds
69,Santa Cruz,BO,2022-04-30 23:16:06,-17.8,-63.1667,77.05,69,2,8.05,clear sky
70,Mar Del Plata,AR,2022-04-30 23:19:00,-38.0023,-57.5575,51.87,69,0,5.01,clear sky
71,Jamestown,US,2022-04-30 23:19:00,42.097,-79.2353,60.44,25,0,8.05,clear sky
72,Bethel,US,2022-04-30 23:19:00,41.3712,-73.414,62.96,41,0,8.05,clear sky
73,Merauke,ID,2022-04-30 23:19:01,-8.4667,140.3333,80.89,84,100,13.85,moderate rain
74,Hervey Bay,AU,2022-04-30 23:19:01,-25.2986,152.8535,72.01,92,67,5.99,broken clouds
75,Victoria,HK,2022-04-30 23:15:57,22.2855,114.1577,74.32,89,100,11.01,light rain
76,Lusaka,ZM,2022-04-30 23:19:02,-15.4067,28.2871,57.29,61,0,3.56,clear sky
77,Sena Madureira,BR,2022-04-30 23:19:03,-9.0656,-68.6569,79.81,67,70,1.59,broken clouds
78,Sisimiut,GL,2022-04-30 23:19:03,66.9395,-53.6735,21.51,67,8,4.27,clear sky
79,Lagoa,PT,2022-04-30 23:19:03,39.05,-27.9833,60.8,86,0,9.1,clear sky
80,Calabozo,VE,2022-04-30 23:19:04,8.9242,-67.4293,75.85,87,100,5.68,overcast clouds
81,Lasa,IT,2022-04-30 23:19:04,46.6166,10.7002,43.36,95,99,3.15,overcast clouds
82,Diffa,NE,2022-04-30 23:19:05,13.3154,12.6113,89.01,29,94,5.79,overcast clouds
83,Olafsvik,IS,2022-04-30 23:19:05,64.8945,-23.7142,44.1,85,99,15.1,overcast clouds
84,Sungaipenuh,ID,2022-04-30 23:19:05,-2.0833,101.3833,65.44,97,100,1.07,overcast clouds
85,Komsomolskiy,UZ,2022-04-30 23:19:06,40.4272,71.7189,65.12,63,20,6.91,few clouds
86,Mchinji,MW,2022-04-30 23:19:06,-13.7984,32.8802,57.24,83,4,2.64,clear sky
87,Bredasdorp,ZA,2022-04-30 23:19:07,-34.5322,20.0403,54.86,90,29,5.17,scattered clouds
88,Bol,TD,2022-04-30 23:19:07,13.4586,14.7147,86.61,47,99,8.68,overcast clouds
